,title,description
54409,Saw V - Non crederai ai tuoi occhi,"Following Jigsaw's grisly demise, Mark Hoffman is commended as a hero, but Agent Strahm is suspicious, and delves into Hoffman's past. Meanwhile, another group of people are put through a series of gruesome tests."
54431,ZMD: Zombies of Mass Destruction,"Life is wonderful for the people in the quiet, island town of Port Gamble....until a zombie virus outbreak!"
54435,Survival of the Dead - L'isola dei sopravvissuti,"On an island off the coast of North America, local residents simultaneously fight a zombie epidemic while hoping for a cure to return their un-dead relatives back to their human state."
54444,Tell-Tale,A man's newly transplanted heart leads him on a dangerous journey to find out who murdered its donor.
54457,Psycho Ward,"While on a research outing, a group of urban explorers get more than they bargained for when the visit the site of an abandoned mental hospital and discover it's hiding a terrifying secret...."
54477,Run! Bitch Run!,"Things go horribly wrong when Catherine and Rebecca, two Catholic school girls, knock on the wrong door while selling religious paraphernalia."
54484,A Darker Reality,A group of women find themselves captive to a depraved psychopath whose blood-lust and insanity knows no bounds. Time is running out as Ghost's sick experiments begin to leave the girls tortured beyond recognition.
54489,Scourge,"An ancient pestilence called The Scourge has been set free in a small town after being entombed in a church's masonry for a century and a half. As bodies rapidly pile up, nothing stands ..."
54494,Blood River,"A psychological thriller, which explores the destruction of a young couple's seemingly perfect marriage."
54514,Jeepers Creepers 3,Sheriff Dan Tashtego and a team of creeper hunters enlist the help of officer Davis Tubbs to help stop the monster's eating spree.
54520,Il mai nato,A young woman fights the spirit that is slowly taking possession of her.
54522,Black Devil Doll,"A young, moist, buxom teen vixen finds herself hurled into an odyssey of forbidden sex and unspeakable violence after an innocent evening dabbling in the occult. What started as a simple ..."
54526,Lady Blood,"15 years after the birth of her monster, Yanka turned her life around and became a policewoman. But new murders and bloody crime scenes put her on the trail of a new evil. And he's coming to get her."
54535,End Call - The Call 4,"The Devil has a phone number, and if you call him on your mobile phone at midnight, he will grant your wish. In return however, he will control your life for the duration of the call."
54539,El Prófugo,"The story of Inés, a young woman who after a traumatic episode during a trip with her partner begins to confuse herself between the real and the imaginary."
54565,Four Boxes,"Trevor Grainger, Amber Croft and Rob Rankus are three, like, average dudes who run Go Time Liquidators - an eBay auction business. Trevor likes Stephen King, Amber wants to be a ..."
54568,Death Warrior,"Five of the best mixed martial arts champions from around the world are forced to play a deadly game, a game to the death."
54571,Orochi,"The story of Orochi revolves around the life of the Monzen family. Aoi Monzen, a famous, but aging, movie star and Kazusa and Lisa Monzen her two daughters. Aoi hopes for them both to take ..."
54575,The Final Destination 3D,"After a young man's premonition of a deadly race-car crash helps saves the lives of his peers, Death sets out to collect those who evaded their end."
54597,Mutants,"In the middle of a zombie apocalypse, a resourceful couple hides out in an isolated abandoned building. The woman is pregnant and the man is infected, slowly transforming into the kind of inhuman monster they are trying to escape."
54625,Forget Me Not,Recent high school graduates become prey of the vengeful spirit of an innocent girl they wronged long ago.
54627,Devil's Tomb - A caccia del diavolo,An elite group of soldiers on a covert mission to retrieve a scientist from an underground lab encounter an ancient evil in the facility.
54631,Chain Letter,A maniac murders teens when they refuse to forward chain mail.
54632,Orphan,A husband and wife who recently lost their baby adopt a 9 year-old girl who is not nearly as innocent as she claims to be.
54669,Chung oi,"In Hong Kong, the successful designer Ming lives with his beloved girlfriend Wai Luk and her younger sister who loves ghost story comic books. When Wai is diagnosed with pancreatic cancer, ..."
54678,Cornered!,"During their nightly poker game, a group of lowlifes are terrorized in their own convenience store by a masked killer."
54680,On a Dark and Stormy Night,Friends gather on Halloween Night for the last party of their lives.
54691,Super Hybrid,"Late one night, a mysterious car is brought into the Chicago police impound garage after a deadly traffic accident. The on-call mechanics soon discover the car has a mind of its own. With ..."
54701,Semum,"Director Hasan Karacadag argues that he tried to create a model of a Turkish-Islamic horror film and that he would make the world recognize this model, of which he sees ""Semum"" as the first..."
54702,The Cycle,"While traveling from California to Bangor through a lonely road, Carrie Mitchel is advised by the gas station attendant Jimmy to rest in a hotel; however, she decides to continue driving ..."
54710,Sunod,"It centers on a woman who's desperate to find the cure to her daughter's illness. She takes a job at a call center, only to be haunted by the ghost in it."
54723,Kaaal,"The film is about a group of youngsters aiming to make a fake horror video for someone. But unknown to them, a real ghost begins to create havoc in a frightful atmosphere and puts their lives in danger."
54725,Camp Blood 8: Revelations,"When a team of volleyball players get lost in the woods, they encounter a killer clown and his psychotic exhibitionist mother. Will he kill them all or will they find a way to defeat him?"
54748,Deadtime Stories 2,"In this anthology of horror tales, two hikers are trapped in a cave-in, a jilted teen lover turns bad, and a man is murderously desperate to help his ailing wife."
54749,Green Eyed Monster,A group of friends travel to South Texas to uncover the truth about a local legend of buried money. Instead they uncover something buried within us all.
54785,Little Big Boy,Jimmy Duncan is a film director working on his fourth film but things are not exactly going as planned.
54806,Body,"A boy has reoccurring nightmares about a beautiful girl being cruelly murdered, but everyone around him tries to convince him that the girl is only a figment of his imagination."
54807,Death of a Ghost Hunter,"Renowned ""ghost hunter"", Carter Simms is paid to conduct a paranormal investigation of a supposedly haunted house. Along with a cameraman, a reporter, and a spiritual advocate, she embarks on a three night journey into terror."
54811,Sweatshop,A group of friends break into an abandoned factory in order to throw a impromptu party; unaware that it is not as empty as they originally believed.
54821,Blood Night: The Legend of Mary Hatchet,A group of teenagers celebrating the anniversary of the death of a local axe murderer suddenly find themselves face to face with the realities of this haunting urban legend.
54832,Gingerdead Man 2: Passion of the Crust,The deranged cookie murderer known as the The Gingerdead Man is about to crash a studio lot and leave behind a trail of bloody murder and hilarious mayhem.
54837,Il rito,American seminary student Michael Kovak (Colin O'Donaghue) travels to Italy to take an exorcism course.
54838,Amateur Porn Star Killer 2,This sequel to Amateur Porn Star Killer. The film follows a deranged serial killer who poses as a filmmaker to lure women into his lair.
54849,Ouija Shark,A group of teenage girls summon an ancient man-eating shark after messing with a spirit board that washes up on the beach. An occult specialist must enter the shark's realm to rid this world of the deadly spirit ghost once and for all.
54869,Sint,A horror film that depicts St. Nicholas as a murderous bishop who kidnaps and murders children when there is a full moon on December 5.
54873,Shifter,A young woman experiences painful and gruesome side effects after an experiment with time travel goes wrong.
54874,Boston Girls,Carmela and Lynne are femme fatales who have a vendetta for cheating men. These Boston girls tour the city on a mad killing spree with a taste for blood and homespun justice. When they ...
54881,Uncle Peckerhead,"When a punk band scores their first tour, life on the road proves tough when they are joined by a man-eating demon as a roadie."
54888,Crush,An American student studying in Australia mistakenly gets involved with a mysterious and unhinged girl while house-sitting for a rich family on vacation.
54915,It's Alive,A baby born to a human couple turns out to be a mutant monster with an appetite to kill when scared.
54917,Zombie Farm,A voodoo priestess raises a zombie horde to exact her personal revenge.
54919,Primal,A group of unsuspecting college students embark on a mission into the forest in hopes of finding evidence of endangered species. What they don't realize is they have wandered onto the feeding grounds of a vicious and calculating predator.
54927,Zombi kampung pisang,"The first malaysian zombie movie, when zombies strike a peaceful village name Banana. What will all the ordinary villagers do to save their life?"
54929,The Children,A relaxing Christmas vacation turns into a terrifying fight for survival as the children begin to turn on their parents.
54931,The Closet,"After Sang-Won's daughter Yi-Na goes missing in their new home, a mysterious man approaches him and tells him to look for her in the closet."
54935,The House of the Devil,"In 1983, financially struggling college student Samantha Hughes takes a strange babysitting job that coincides with a full lunar eclipse. She slowly realizes her clients harbor a terrifying secret, putting her life in mortal danger."
54967,Cookie,The film is an exercise in relentless mind numbing horror.
54976,Resident Evil: Degeneration,"Leon S. Kennedy and Claire Redfield must battle a rogue warrior seeking revenge after unleashing the deadly G-Virus, whilst a mutated monster goes on a rampage."
54977,Voces,"Daniel and Sara have a 9-year-old son, Eric, and they've just moved to a new home not knowing the neighbours call it ""the house of the voices"". Eric is the first one to notice the odd noises behind each door."
54988,Hunger,Five strangers struggle when a madman imprisons them in an underground dungeon in this nail-biting horror.
54989,Tetsuo: The Bullet Man,"Losing his son Tom in a hit and run triggers violent emotions in Anthony, whose body begins to transform. When the driver who killed Tom reappears, Anthony mutates into a mass of metal - a human weapon fuelled by an uncontrollable rage."
54998,Across the Hall,"A thriller about a standoff between a young man, his fiancée and his best friend who comes to his aide."
55000,Murder Loves Killers Too,Big Stevie has a sexual problem. Murder is how he has sex. And Big Stevie knows that there is no better way for a repressed killer to blow off steam than killing a bunch of care-free ...
55021,DAU. Degeneratsiya,"A secret Soviet Institute conducts scientific and occult experiments on animals and human beings to create the perfect person. Azhippo, KGB general and his aides turn a blind eye to erotic ..."
55022,Murder Death Koreatown,"After his neighbor's real life murder, an unemployed man goes down the rabbit hole investigating what he believes to be a conspiracy."
55037,Nightmare,"The spectre of a disfigured man haunts the children of the parents who murdered him, stalking and killing them in their dreams."
55041,Shelter - Identità paranormali,A forensic psychiatrist discovers that all but one of her patient's multiple personalities are murder victims. She will have to find out what's happening before her time is finished.
55042,The Orphan Killer,"A boy witnesses his parents' murder and is sent to an orphanage, where his sister is adopted and he is left behind, being abused by using a mask. Years later, he returns to her life, still masked, wanting to teach her a lesson."
55060,San Valentino di sangue,"Tom returns to his hometown on the tenth anniversary of the Valentine's night massacre that claimed the lives of 22 people. Instead of a homecoming, Tom finds himself suspected of committing the murders, and it seems like his old flame is the only one that believes he's innocent."
55061,Paranormal Activity,"After moving into a suburban home, a couple becomes increasingly disturbed by a nightly demonic presence."
55063,10 Cloverfield Lane,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack."
55072,Death files,"One day 2 locksmith found at the old warehouse the flash card. One of him activate the flash card at computer and opened the shocking world of mysterious creatures, broken lives and violence."
55094,S.N.U.B!,"A junior minister in the British Government discovers a terrorist plot to detonate a nuclear device in London. Putting self-preservation first, he flees with a young American political ..."
55098,The Horde,"An end of the world battle between gangsters, cops and zombies."
55100,Le village des ombres,A group of young people are trapped in an evil village.
55103,Pet,A man bumps into an old crush and holds her captive underneath the animal shelter where he works.
55104,Stag Night of the Dead,"The world may be recovering from a global zombie outbreak, but that's not stopping Dean from marrying. The stag party, along with a PVC-clad stripper they've hired, go to play Zomball - like paintball, except that you get to shoot zombies."
55111,Tokyo Gore Police,"In future Tokyo, a young woman in the privatized police force tracks down her father's killer while battling against mutant rebels known as engineers."
55119,Tales from Six Feet Under,Follow the Visitor as he walks through the graveyard and find out how these extremely unlucky people ended up six feet under.
55124,The Great Ghost Rescue,"Young Humphrey is a ghost with a big problem. He and his family, the Craggyfords, have been ousted from their home and left without a place to haunt. As they search for new haunting grounds..."
55126,Freakdog,"After a prank goes awry and lands a hospital janitor in a coma, a group of doctors begin dying at the hands of the comatose patient who is extracting revenge through out-of-body experiences."
55127,Horror Movie,"A spoof on many horror movie series. Ending his shift at the video rental, Stan's picked up by his BFF and 2 cute girls, all going to a Halloween party. Will they even get there?"
55130,High School Girl Rika: Zombie Hunter,Rika never expected to encounter the living dead as she skipped school to visit her grandfather. She is forced to survive and discovers incredible zombie fighting skills.
55163,Grindstone Road,"A few months ago Hannah Sloan (Fairuza Balk) was in a horrible car accident, leaving her son Daniel in an extended coma. With hopes of putting their recent tragedy behind them Hannah and ..."
55170,Isha,
55172,Tamami: The Baby's Curse,"As a teenager, Yoko discovers that she is not really an orphan when her wealthy but very strange family welcomes her home to a mansion that many claim is haunted."
55173,Pandorum - L'universo parallelo,"Two crew members of a spaceship wake up from hypersleep to discover that all their colleagues are missing. Despite this, it appears that they are not alone."
55180,Fritt vilt II,"Jannicke wakes up in the hospital. All of her friends are dead. As she walks through the dark corridors, she thinks she is left alone. But the nightmare isn't over yet."
55182,In 3 Tagen bist du tot 2,"One year ago, Nina survived the attacks of a serial killer. She wants to flee from these memories but one call at night recalls all memories and she is again in the middle of a murder mystery."
55191,Concrete shark,The director of the concrete plant fell into the concrete mixer. The devil from hell turned him into a concrete shark. Save the world from another monster will locksmiths Michael and Azamat.
55192,La pelle che abito,"A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession."
55205,Watch Out,A narcissistic man sexually fascinated with his own body finds himself heading down a path of disturbed behavior.
55208,The Legend of Bloody Mary,"Ryan has been plagued with nightmares since the night his sister Amy went missing 8 years earlier after playing the game ""Bloody Mary."" Amy had stumbled onto a website on the Internet (..."
55216,Sputnik,The lone survivor of an enigmatic spaceship incident hasn't returned back home alone-hiding inside his body is a dangerous creature.
55218,Low Season,"A girl with a special sense and can see the ghosts broke up with her boyfriend becoming tired of the big city and decided to leave the city for a break. She heads to the faraway resort in the North alone during the so-called ""Low Season""."
55223,The Beacon,"While trying to get their lives back on track after the loss of their four year old son, Bryn and Paul Shaw move to the charming old Beacon Apartments. Bryn begins seeing a ghostly little ..."
55225,Red Victoria,A writer is forced to write a horror movie by an undead muse who motivates him by killing his friends and family.
55227,The Gates of Hell,"Five adventurous filmmakers set out to make an online interactive movie exploring the nature of evil. But soon they find themselves the subject of their own intentions, as they accidentally..."
55234,Apocalypse of the Dead,InterPol agents must join forces with dangerous prisoner to fight zombie hordes.
55238,A Slit-Mouthed Woman 2,"Three sisters grow up on a chicken farm in a small town of Gifu. The oldest sister, Sachiko Sawada, is engaged to be married, the middle sister, Yukie works at a beauty salon and the ..."
55239,Onechanbara: The Movie,"In the year 20XX a mysterious scientist discovers a way to bring back the dead . . . only it turns one town into a zombie-infested hellhole. But when the world falls into ruin, only one ..."
55241,Crushed,"Love can be painful. Very painful. The intriguing-on-the-outside, twisted-and-tortured-on-the-inside Tara sets her sights on the unassuming guy-next-door Ray. Their innocent flirting turns ..."
55249,Black house - Dove giace il mistero più profondo,"Jun-oh, an insurance claims agent, faces off with a client who he suspects of committing murders with the intention of collecting insurance premiums."
55253,Bled White,"The dead feast on human flesh and stop at nothing for it. The living, confined to the dark corners of the world, must do what it takes to survive. Dying is the only thing left to do at the ..."
55282,Blu profondo 3,"Studying the effects of climate change off the coast of Mozambique, a marine biologist and her team confront three genetically enhanced bull sharks. Now, a new bloodbath is waiting to happen in the name of science. Will humans never learn?"
55290,Blood Shot,A notorious Middle Eastern terrorist (Dourif) is plotting a major attack on the U.S. that includes detonating a powerful nuke in the heart of Los Angeles; the only thing standing in his way...
55303,Caesar and Otto's Summer Camp Massacre,"Caesar, an effete tough guy and his slovenly half brother, Otto, have signed up as summer camp counselors. But when the mysterious Carrie shows up, the other counselors start disappearing one by one."
55304,Dracula - Le origini,"Based upon Bram Stoker's short stories, Dracula's Guest follows the story of two young lovers, Bram and Elizabeth, who are forced by her father, the Admiral Murray, to take a one year ..."
55314,Backwoods Bloodbath,"In 1877, a fierce creature, known as Bovinus Spiritualis (the Black Hodag) was discovered in the northern woods of Oneida County, Wisconsin. To this day, locals whisper of the Black Forest,..."
55328,Autumn,"A horrible virus kills billions within minutes. The few survivors that are left have to deal with the shock of the apocalypse, and they have no idea that things are about to get much worse."
55334,Chawu,A black comedy about the events that are set into motion in a town after a man-eating boar goes on a rampage.
55370,The Graves,Two inseparable sister's visit to a remote mine town turns into a mind-bending fight for survival against menaces both human and supernatural.
55381,Boogeyman 3,"When a college student witnesses the alleged suicide of her roommate, it sets into motion a series of horrific events that cause her to fear the supernatural entity. As she tries to ..."
55384,Sensored,"A children's book illustrator inhabits a twilight world of shifting reality and illusion, where cruelty and rampant evil do battle with his better instincts, and sanity is a question of perception."
55386,Ouija,A group of friends must confront their most terrifying fears when they awaken the dark powers of an ancient spirit board.
55399,Amityville Island,A cursed survivor of killings at the Amityville House brings evil to a small island where bizarre genetic experiments are carried out on humans and animals in a secret women's prison.
55402,The Dead Outside,"A neurological pandemic has consumed the population. April, a secretive young girl, and Daniel, a man desperate and bereaved, come together on an isolated farm. When a mysterious stranger ..."
55417,The Bleeding,"Surrounded by carnage, slaughter, brutal crashes and total mayhem, Shawn Black is in a race to save the world from pure evil."
55435,Sutures,"A group of longtime friends converge on a fatal course with destiny when they cross paths with Alexander Tatum, a mercenary surgeon. He is a hunter with the keen skill of one who has also ..."
55442,Scare Me,"A group of new friends go camping on their last night traveling together to a music festival. They wager a free weekend pass to the winner of a ghost story contest, but a chance encounter ..."
55469,The Rain,Follows three generations of a curse farming community that turn to human sacrifice to appease an evil that haunts the rain.
55502,Du saram-yida,"This creepy, supernatural thriller revolves around the paranoid belief that those dearest to you may want you dead."
55513,5G Zombies,The human race struggles to survive as governments have conspired to turn the citizens of the world into zombies via their new 5G cell service.
55521,Cry Havoc,A rogue police officer takes on a serial killer who murders at call
55545,The Red Cell,"A terminally ill patient, wakes up in a dark, decrepit underground chamber. An IV pumps an unknown liquid into his body and adorning his head is a crown of wires. His last memories lead him..."
55557,Prank,Jessica: A college co-ed gets more than she bargained for after playing a not-so-innocent telephone game and discovers that sometimes the wrong people just might call you back. Madison: As ...
55567,Artefacts,A young woman realizes her friends are being murdered by their own doubles. She and her boyfriend work to solve the mystery before becoming victims themselves.
55568,BreadCrumbs,A group of Porn Filmmakers are systematically attacked by 2 children on the set of a remote shoot.
55572,Il quarto tipo,"A thriller involving an ongoing unsolved mystery in Alaska, where one town has seen an extraordinary number of unexplained disappearances during the past 40 years and there are accusations of a federal cover up."
55573,Grace,"After losing her unborn child, Madeline Matheson insists on carrying the baby to term. Following the delivery, the child miraculously returns to life with an appetite for human blood. Madeline is faced with a mother's ultimate decision."
55574,Heartless,"Jamie Morgan, a young man with a large heart-shaped birthmark on his face, discovers that there are demons on the streets of East London."
55577,Dropping Evil,"After his friends slip him LSD on a camping trip, ultra-nerdy Nancy hallucinates that they are evil beings and begins to systematically hunt them down. Meanwhile, a mysterious corporation monitors the entire event for their own hidden purpose."
55584,Resident Evil: Afterlife,"While still out to destroy the evil Umbrella Corporation, Alice joins a group of survivors living in a prison surrounded by the infected who also want to relocate to the mysterious but supposedly unharmed safe haven known only as Arcadia."
55585,Breathing Room,"Thrown naked into a desolate room with thirteen strangers, Tonya discovers that she is the final contestant in a deadly game. Restrained by lethal electronic collars, the players must ..."
55590,It's My Party and I'll Die If I Want To,Join Sara and her friends as they celebrate her birthday in the reputedly haunted Burkitt Manor. The evil within the house has awoken and has brought along some uninvited guests.
55604,The Kiss,"A romantic horror comedy about a Latina Vampire and the 18 year-old boy that raises her from the near-dead. Forever changed are the lives of Jeremy Williams, his family & his high school acquaintances."
55607,Time of Darkness,
55608,Abduction,"ABDUCTION: The town of Process is located somewhere in rural New Jersey. It's been in existence for over 100 years, although it's not on any known map. It's a nice place to visit, with ..."
55616,Temptation,"After a heavy night out with the girls, Isabel, and attractive young professional woman catches an illegal mini-cab home. Things take a turn for the worse when the cabbie pulls her into an ..."
55626,Gli occhi del mistero,"Moving into her parents' mansion after she inherits it, a woman, her husband and their daughter stumble upon a dark and terrible family secret."
55635,Alive or Dead,"On a desolate road, an abandoned school bus with the words 'HELP ME' written on a window, Maria stops to check it out. A killer has left his bloody crime scene in the back. The killer comes..."
55639,Quattro notti con Anna,A crematorium worker repeatedly breaks into a woman's house at night to help with housework.
55661,Pontypool,A radio host interprets the possible outbreak of a deadly virus which infects the small Ontario town he is stationed in.
55687,Laid to Rest,A young girl wakes up in a casket with a head injury and no memory of her identity. She quickly realizes she was abducted by a serial killer and she must fight to survive.
55690,Bikini Girls on Ice,"When a bus-load of women's college soccer players get stranded on their way to a bikini car-wash fundraiser, they decide to set-up shop in front of an abandoned gas station on the edge of ..."
55693,Blood Story,A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.
55706,Dead Stop,"The desert can be an unforgiving place. By day, the temperatures soar past the century mark, hot enough to drop a man in his tracks, and by night they plummet low enough to freeze the life ..."
55707,Junkyard Dog,A gritty psychological-horror-thriller that delves the demented mind of a cannibalistic serial rapist who kidnaps his tenth victim in as many months on Halloween night.
55708,Kereta Hantu Manggarai,"A group of teenagers performs a ritual to ""summon"" and board a train that is said to be a ghost train, to find their member's missing sister. On the train, they experience various terrible events."
55709,Jue ming pai dui,"Five people arrive at a party, fully unaware that the special night is just a cover for an evening of torture and murder."
55718,Slaughter,"A young woman looks to escape her abusive life by moving to a friend's farm near Atlanta. Unfortunately, she learns her place of supposed comfort offers more terrifying forms of abuse."
55720,Perkins' 14,"In the small town of Stone Cove, Maine, deputy sheriff Dwayne Hopper is on the night shift at the police station. He discovers that one of the prisoners in the holding cell is Ronald ..."
55721,Reversal - La fuga è solo l'inizio,"A young girl, chained in the basement of a sexual predator, escapes and turns the tables on her captor."
55738,La maison Nucingen,Surreal gothic comedy about a gambler who wins a strange Chilean mansion and takes his frail wife there.
55746,Dark Moon Rising,"Small-town girl meets mysterious drifter boy, they fall in love. Only in this case, the boy brings with him a family curse and unimaginable horror that rains hell upon the small town."
55747,Witchmaster General,"An evil Voodoo Witchdoctor runs a murder-for-hire business. He'll do away with your unfaithful wife, your unappreciative boss, or your back-stabbing friend - but the price is your soul!"
55760,Patto di sangue,"A group of sorority sisters try to cover up the death of their house-sister after a prank gone wrong, only to be stalked by a serial killer."
55773,Saw VI,"Agent Strahm is dead, and FBI agent Erickson draws nearer to Hoffman. Meanwhile, a pair of insurance executives find themselves in another game set by Jigsaw."
55815,Tannöd,On a remote farm an entire family is murdered.
55822,The Sacred,"A group of students travel to a remote and sacred Native American patch of land, in order to complete a thesis on Native American Folklore. This distant swamp area was used hundreds of ..."
55836,Hunting Grounds,"In this future, nature is restricted and virtual games now provide both the landscapes and the hunting grounds. A group of hunters will make it outside for a traditional hunt."
55837,La creatura dei ghiacci,A research expedition to the Arctic discovers that a melting polar ice cap has released a deadly prehistoric parasite.
55845,Tin Can Man,"Recently dumped by his girlfriend for another man, working in a job he hates, things could be better for Peter. One night, while he is alone in his apartment, there is a knock at the door. His life will never be the same again."
55860,Wind Walkers,"With one of their own missing, a group of friends travel to the remote Florida everglades where they discover that an ancient, malevolent curse is tracking them."
55878,Silent But Deadly,"Thomas Capper is an unconventional and mysterious serial killer who takes aim at a Hollywood film set, by unleashing his own brand of retribution on the cast and crew."
55882,Scarce,"SCARCE depicts the gruesome fate of three lost snowboarders trapped at an isolated forest cabin owned by two menacing locals who harvest human flesh. As the day of the slaughter nears, they..."
55884,Murder Manual,"Creepy, terrifying chapters from our book of horror include a little girl's journey from a world of nightmares into the nightmare of reality, a gay couple's romantic getaway in Palm Springs..."
55891,Bulbbul,"A man returns home after years to find his brother's child bride now grown up and abandoned, and his ancestral village plagued by mysterious deaths."
55909,D4,"D4 follows a team of special ops mercenaries on a mission to rescue a kidnapped kid believed to be held in an abandoned government facility. Hired by the boy's mother, a wealthy doctor with..."
55921,Road Train,A supernatural thriller about a group of teenagers menaced by a driver-less train in the Australian outback.
55926,I Spit on Your Grave,"A writer who is brutalized during her cabin retreat seeks revenge on her attackers, who left her for dead."
55943,Blood Moon Rising,"A hippie chick teams up with a comic book nerd to save the world from armies of werewolves, vampires and zombies."
55944,Deadline,"A screenwriter travels to an abandoned house to finish a script on time, but a series of strange events lead her to a psychological breakdown."
55947,La herencia Valdemar,"Luisa Llorente, an expert on taxation of old buildings, had recently gone to the Victorian mansion Valdemar to conduct an inventory of property ownership. After she mysteriously disappeared..."
55963,The Shortcut,Two brothers come upon a rarely used shortcut in their new town.
55967,Hisss,Based on the Far Eastern myth of the snake woman who is able to take on human form.
55973,Burning Bright - Senza via di scampo,A thriller centered on a young woman and her autistic little brother who are trapped in a house with a ravenous tiger during a hurricane.
55980,Psychic Experiment,"An idyllic, small, self-sufficient community. On the surface, it seems like the perfect neighborhood. Everything you could possibly need is within walking distance. But the pastoral ..."
55992,The Torturer,A military interrogator returns from Iraq with Acute Post-Traumatic Stress Disorder.
55996,Smash Cut,"After his latest film is met with horrible reviews, Able Whitman sets out to prove the critics wrong by finding inspiration in his cast and crew. Sometimes great art requires great sacrifice, and the director always gets final cut."
56002,Lo siniestro,Clara faces an horrifying past when she returns to the town where she grew up while experiencing a marriage crisis. Only a police officer could help her solve what is happening to her grandparents and the rest of the people from the place.
56048,Sasquatch Assault,"When a merciless bear poacher is caught and arrested deep in the woods of a state park, he and his truck are taken to a neglected precinct in the heart of a dying city. Unbeknownst to the ..."
56073,Fuego negro,"In search of his sister, a renegade criminal seeks answers at a sordid hotel where he encounters a sinister guest and romances a mysterious waitress."
56083,From Inside,"Based on the epic graphic novel by John Bergin, FROM INSIDE is the tale of Cee, a young pregnant woman who finds herself on a damaged train slowly transcribing its way across a bleak, ..."
56084,Daylight,"A harrowing psychological thriller from a widely acclaimed filmmaker, Daylight pits a couple lost in America against a conniving gang of kidnappers, in David Barker's rigorous and personal re-imagining of the genre film."
56113,The Tenant,"A simple man, Dr. Walter Newman, has high aspirations to cure all disease through genetic manipulation. His obsession with his mission draws him deeper into his own dark world, distracting ..."
56119,Quella casa nel bosco,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods."
56137,Dark House,A troupe of actors hired for a haunted house attraction soon find that they are working in a true house of horror.
56138,Die-ner (Get It?),"Ken is a wandering and unassuming serial killer who enters a forsaken and empty diner during the graveyard shift. After a long conversation with the diner's lone waitress Rose, Ken kills ..."
56154,The Shadow Within,"Maurice is a young boy who can connect with the dead -his twin brother, Jacques, who was killed at birth. But Jacques does not want to return to the living: he wants his parents to join him in the afterlife."
56157,Penance,"A young mother decides to become a stripper to earn some fast cash, only to find her worst nightmares are about to begin."
56158,Dismal,"Dana is failing Biology. To pass she must attend an extra credit assignment with several classmates that will lead them into a remote region of the Great Dismal Swamp, a place teeming with ..."
56164,Prey for the Beast,"A group of weekend warriors go into the woods to avoids the troubles of home life when they meet a group of sexy hikers out to do the same. Unbeknown to the two groups, a predatory animal ..."
56168,Fading of the Cries,"Evil is resurrected in a small town threatening to destroy mankind, and the only force that can stop it is a young man wielding a powerful sword."
56169,Offspring,"Against the backdrop of grisly murders and child abductions, a clan of cannibalistic savages which plague the North-east Coast since 1858, is after an unsuspecting family and their innocent baby girl. Do they have what it takes to survive?"
56172,Scream 4,"Ten years have passed, and Sidney Prescott, who has put herself back together thanks in part to her writing, is visited by the Ghostface Killer."
56185,Johnny Sunshine Maximum Violence,"The Sprawl, a seedy underworld of exploitation, violence, and zombies. In this maze of alleyways and speakeasies life is cheap, drugs are cheaper, and surviving to a ripe old age is an ..."
56198,Maneater,"A former FBI profiler, now a sheriff of a small town and a single parent of a high school aged daughter, begins to profile a series of unexplained murders only to learn that the monster he's profiling may be himself."
56211,Dire Wolf,A vicious genetically modified creature that's half human and half dire wolf escapes from a research facility so it can go on a murderous rampage in a quiet rural community. It's up to the ...
56223,House of Flesh Mannequins - La casa dei manichini di carne,A loner artist with a history of abuse meets a beautiful woman who takes an interest in his life and work; leading to a chilling path of tragedy.
56235,Home Movie,"In the remote woods of Upstate New York, David and Clare Poe are attempting to live an idyllic life. However, their twin children's bizarre behavior might just tear the family apart."
56241,Phoonk,An atheist is forced to consult an exorcist after his daughter shows signs of being possessed.
56248,Gnaw,A group of people staying in England discover that there are brutal cannibals in their midst.
56277,Non avere paura del buio,A young girl sent to live with her father and his new girlfriend believes that she has released creatures from a sealed ash pit in the basement of her new home.
56279,Higanjima,"Higanjima is an eerie island occupied by vampires, from where none has ever come back alive. When teenager Akira hears that his missing brother has been seen in the island, he decides to investigate with several friends."
56285,Hatchet II,"Marybeth escapes the clutches of the bayou-butcher Victor Crowley and returns to the swamp with an army of hunters and gunmen, determined to end Crowley's reign of horror once and for all."
56302,Deadheads,"Two inexplicably coherent zombies awake amidst a zombie attack, and decide to take a road trip to find the one's lost love, unaware they are being chased by the agents of a ruthless company with its own agenda."
56307,Srpski film,"An aging porn star agrees to participate in an ""art film"" in order to make a clean break from the business, only to discover that he has been drafted into making a pedophilia and necrophilia themed snuff film."
56313,The Last Seven,"A feature length thriller/horror set in post-apocalyptic London starring Danny Dyer, Tamer Hassan, Simon Phillips, Ronan Vibert, Sebastian Street, Daisy Head, Rita Ramnani and John Mawson. ..."
56330,Host,"Six friends hire a medium to hold a seance via Zoom during lockdown, but they get far more than they bargained for as things quickly go wrong. When an evil spirit starts invading their ..."
